"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OLFML2B",4.64869596802108e-14,0.0272729502877964,0.319,0.669,9.29739193604217e-11
"APCDD1",4.73926971562211e-14,-0.0361662224213335,0.403,0.764,9.47853943124422e-11
"PLAT",5.38987465964548e-14,-0.021768514247417,0.318,0.676,1.0779749319291e-10
"HIST1H3F",5.54907991219219e-14,-0.0127499812711551,0.361,0.662,1.10981598243844e-10
"UNC5C",6.18194464409524e-14,0.0290858913748619,0.372,0.468,1.23638892881905e-10
"KDR",6.78157679529484e-14,-0.0136517365060193,0.294,0.694,1.35631535905897e-10
"DIO3",7.25515651950658e-14,0.0262441106679937,0.386,0.708,1.45103130390132e-10
"FST",7.64763247219477e-14,-0.0543564113627766,0.349,0.454,1.52952649443895e-10
"REG3G",9.1902398061288e-14,0.0113166480635193,0.204,0.604,1.83804796122576e-10
"AC245595.1",1.0792800689423e-13,-0.0140152655207263,0.427,0.76,2.1585601378846e-10
"DDX60",1.39122160935775e-13,0.0416360209255571,0.227,0.59,2.7824432187155e-10
"ITGA8",2.08888178110813e-13,-0.0171113773534336,0.303,0.667,4.17776356221626e-10
"TFAP2A",3.34090169793438e-13,-0.051784662850454,0.238,0.389,6.68180339586877e-10
"TMEM38A",3.76651907481833e-13,0.0103392939831566,0.269,0.624,7.53303814963666e-10
"SIX1",3.87497488542202e-13,0.0310173560153509,0.237,0.364,7.74994977084405e-10
"HIST1H3B",3.90871939641716e-13,-0.0471006794273195,0.482,0.784,7.81743879283433e-10
"TRIB3",4.55009248100568e-13,-0.0210337198894668,0.352,0.68,9.10018496201135e-10
"CDH3",5.89960081362597e-13,-0.0140425592250455,0.246,0.644,1.17992016272519e-09
"SGK1",6.58287793606138e-13,0.0109681649927266,0.147,0.316,1.31657558721228e-09
"NEXN",6.85281885645104e-13,0.0395982139260267,0.311,0.675,1.37056377129021e-09
"PRNP",8.07181709125297e-13,-0.0114374887236684,0.282,0.64,1.61436341825059e-09
"PURPL",9.95864265016427e-13,-0.0178139994596378,0.426,0.5,1.99172853003285e-09
"ERBB4",1.15021353759643e-12,0.0176893677634975,0.536,0.835,2.30042707519287e-09
"PCGF5",1.43685076894416e-12,0.026753075666798,0.613,0.929,2.87370153788832e-09
"COPZ2",1.49672411766339e-12,0.0163302489218615,0.307,0.667,2.99344823532678e-09
"WNT5B",1.50838859723257e-12,-0.0313900068906061,0.164,0.54,3.01677719446514e-09
"HIST1H2AL",1.70397596359063e-12,0.024808899462825,0.455,0.528,3.40795192718126e-09
"DACT2",2.08444111579295e-12,0.028423220075934,0.158,0.515,4.1688822315859e-09
"DDX58",2.7606152206444e-12,0.0128312488748494,0.272,0.61,5.5212304412888e-09
"NEUROG1",3.03260670936251e-12,-0.0151881715596153,0.302,0.455,6.06521341872502e-09
"THY1",3.14466648512304e-12,-0.0683488617546503,0.44,0.713,6.28933297024608e-09
"BMP4",3.48594337839634e-12,-0.0208410015487874,0.225,0.592,6.97188675679269e-09
"ANKRD45",4.00314502491715e-12,0.0132438161635242,0.391,0.697,8.00629004983429e-09
"EFNA5",4.2131771592038e-12,0.0517743541322928,0.292,0.398,8.4263543184076e-09
"LSR",4.35630848467439e-12,-0.0410321697316908,0.276,0.427,8.71261696934878e-09
"SOCS1",7.08490424617365e-12,0.0101220850403789,0.224,0.602,1.41698084923473e-08
"PMEL",7.8303073101308e-12,-0.0234872810669238,0.411,0.689,1.56606146202616e-08
"GXYLT2",1.07067578392864e-11,-0.012884636756896,0.199,0.328,2.14135156785729e-08
"ACKR3",1.10357708720926e-11,0.0720956532125822,0.671,0.969,2.20715417441851e-08
"PLSCR1",1.1314916260482e-11,0.0271086025234897,0.383,0.73,2.2629832520964e-08
"LPP",1.2077489831329e-11,-0.0759577560442447,0.492,0.799,2.4154979662658e-08
"TWIST1",1.29761266024122e-11,-0.0197929591122376,0.3,0.424,2.59522532048244e-08
"STC2",1.4414669639774e-11,-0.0281938888216284,0.247,0.401,2.88293392795479e-08
"TUBA1B",1.50789510049169e-11,0.0947928584417328,1,1,3.01579020098338e-08
"PMP22",1.98068046467447e-11,0.021442103821055,0.275,0.646,3.96136092934894e-08
"SLC7A8",2.4080273182327e-11,-0.0256231609225338,0.149,0.344,4.8160546364654e-08
"MIR503HG",2.83107927290453e-11,-0.0184279981791384,0.288,0.635,5.66215854580906e-08
"PLXDC2",2.87340064543186e-11,0.0192871764982173,0.414,0.759,5.74680129086371e-08
"KIF5A",2.99024734547069e-11,0.021335702725734,0.446,0.741,5.98049469094137e-08
"PDLIM4",3.17651896858505e-11,0.0428417245115414,0.401,0.761,6.35303793717009e-08
