"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"103","Synaptic Vesicle Membrane (GO:0030672)","2/54",0.210917505164183,0.369093499031578,0,0,2.3969474969475,3.73034108811934,"SYT4;SYT1"
"104","Axonal Growth Cone (GO:0044295)","1/15",0.213166298905938,0.369093499031578,0,0,4.44597649186257,6.87206882296482,"DCC"
"105","Cation-Transporting ATPase Complex (GO:0090533)","1/15",0.213166298905938,0.369093499031578,0,0,4.44597649186257,6.87206882296482,"ATP1A3"
"106","Secondary Lysosome (GO:0005767)","1/15",0.213166298905938,0.369093499031578,0,0,4.44597649186257,6.87206882296482,"SQSTM1"
"107","Secretory Vesicle (GO:0099503)","1/15",0.213166298905938,0.369093499031578,0,0,4.44597649186257,6.87206882296482,"NKD2"
"108","Exocytic Vesicle (GO:0070382)","1/15",0.213166298905938,0.369093499031578,0,0,4.44597649186257,6.87206882296482,"NKD2"
"109","Platelet Alpha Granule Membrane (GO:0031092)","1/16",0.225646955711115,0.383599824708895,0,0,4.14936708860759,6.17750985446419,"CD9"
"110","Protein Phosphatase Type 2A Complex (GO:0000159)","1/16",0.225646955711115,0.383599824708895,0,0,4.14936708860759,6.17750985446419,"PPP2R2B"
"111","Calcium Channel Complex (GO:0034704)","2/59",0.240157093761751,0.404588977778806,0,0,2.18613199665831,3.11843424738807,"CASQ2;CALM2"
"112","Serine/Threonine Protein Kinase Complex (GO:1902554)","2/60",0.246032773873791,0.41078686352142,0,0,2.14833059660646,3.01258363974732,"CDK6;CDK1"
"113","Specific Granule Lumen (GO:0035580)","2/61",0.251913648201363,0.41688364790845,0,0,2.11181059994619,2.9114876307554,"CXCL1;VCL"
"114","AMPA Glutamate Receptor Complex (GO:0032281)","1/19",0.261917208352307,0.420321570615462,0,0,3.45727848101266,4.63180871840915,"SHISA9"
"115","T Cell Receptor Complex (GO:0042101)","1/19",0.261917208352307,0.420321570615462,0,0,3.45727848101266,4.63180871840915,"ZAP70"
"116","Clathrin Adaptor Complex (GO:0030131)","1/19",0.261917208352307,0.420321570615462,0,0,3.45727848101266,4.63180871840915,"AP1S2"
"117","Actin Cytoskeleton (GO:0015629)","7/327",0.262981945251385,0.420321570615462,0,0,1.36634072580645,1.82498017841101,"CLDN5;GAS2L3;IFIT5;TAGLN2;FLNB;SORBS2;CORO2B"
"118","Anaphase-Promoting Complex (GO:0005680)","1/20",0.273626927443573,0.432045721160899,0,0,3.27514990006662,4.24456046785309,"CDC20"
"119","Cytoplasmic Vesicle Lumen (GO:0060205)","3/115",0.274938186193299,0.432045721160899,0,0,1.66950068243858,2.1556742800602,"MVP;GYG1;VCL"
"120","Basolateral Plasma Membrane (GO:0016323)","4/171",0.287378506367774,0.447831505756448,0,0,1.49344760957319,1.86226210528513,"MYL1;ANK3;SLC16A3;NKD2"
"121","Vesicle Membrane (GO:0012506)","2/69",0.298961668098532,0.462031668879549,0,0,1.85889599620943,2.24450522207536,"AP1S2;CLU"
"122","Tertiary Granule Membrane (GO:0070821)","2/72",0.316512858681215,0.485146758798256,0,0,1.77895691609977,2.04649675589239,"CD47;CLU"
"123","Voltage-Gated Potassium Channel Complex (GO:0008076)","2/73",0.322342073157341,0.490064777889616,0,0,1.75381175944556,1.98556387986778,"CNTNAP2;KCNK6"
"124","Cell-Cell Junction (GO:0005911)","6/299",0.337634899551653,0.509175211420637,0,0,1.27673584056715,1.38626719492945,"CLDN5;SAPCD2;PERP;ILDR2;FGFRL1;VCL"
"125","Endosome Membrane (GO:0010008)","7/361",0.348320326639658,0.517239604281805,0,0,1.23294149808639,1.30030047499644,"RAB31;PMEPA1;SLC15A3;EPHB1;OPTN;WLS;RHOB"
"126","Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553)","1/27",0.350569740482868,0.517239604281805,0,0,2.39252677702045,2.50783608368445,"TAPBP"
"127","Clathrin-Coated Vesicle (GO:0030136)","2/78",0.35128037296144,0.517239604281805,0,0,1.63801169590643,1.71363966398443,"DAB2;MYL1"
"128","Coated Vesicle (GO:0030135)","2/79",0.357019511124398,0.519107839400748,0,0,1.6166563595135,1.66509921785427,"DAB2;MYL1"
"129","Dendrite Membrane (GO:0032590)","1/28",0.360877107604798,0.519107839400748,0,0,2.30379746835443,2.34807138907746,"SHISA9"
"130","Endolysosome (GO:0036019)","1/28",0.360877107604798,0.519107839400748,0,0,2.30379746835443,2.34807138907746,"CTSB"
"131","Myofibril (GO:0030016)","1/29",0.371021389961919,0.525613635779385,0,0,2.22140596745027,2.2025141606881,"MYL1"
"132","Protein Serine/Threonine Phosphatase Complex (GO:0008287)","1/29",0.371021389961919,0.525613635779385,0,0,2.22140596745027,2.2025141606881,"PPP2R2B"
"133","Rough Endoplasmic Reticulum (GO:0005791)","1/30",0.381005159840619,0.535698984136809,0,0,2.14469663902226,2.06950863861211,"LRAT"
"134","Golgi Stack (GO:0005795)","1/31",0.390830949136151,0.541373240655261,0,0,2.07310126582278,1.9476375247493,"VRK1"
"135","Synaptic Membrane (GO:0097060)","1/31",0.390830949136151,0.541373240655261,0,0,2.07310126582278,1.9476375247493,"SHISA9"
"136","Lysosomal Lumen (GO:0043202)","2/86",0.396634136145643,0.545371937200259,0,0,1.48140589569161,1.36991676142448,"GYG1;CTSB"
"137","Specific Granule Membrane (GO:0035579)","2/90",0.418765874636691,0.568297280272081,0,0,1.41378066378066,1.23061588805178,"CD47;CLU"
"138","Postsynaptic Density Membrane (GO:0098839)","1/34",0.419385158703461,0.568297280272081,0,0,1.8843498273878,1.63743508059381,"GRIK1"
