"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"28","Melanosome (GO:0042470)","3/31",0.0127706501929692,0.0852896995030441,0,0,6.70666515013649,29.2451222452899,"BACE2;MLANA;RAB38"
"29","Filopodium (GO:0030175)","4/60",0.0150653639131263,0.097145622474297,0,0,4.47900502053857,18.7910248442113,"ACTA2;UNC5C;DMD;ACTG2"
"30","Tight Junction (GO:0070160)","5/93",0.0162237999342349,0.101128352923398,0,0,3.56843677156177,14.7065127639167,"CLDN5;MARVELD3;ILDR2;ANK3;AMOTL1"
"31","Intracellular Organelle Lumen (GO:0070013)","22/856",0.0182321408737041,0.109980978818796,0,0,1.68547738080722,6.74961090818006,"MVP;WNT5A;CXCL1;LAMB1;NR3C1;CP;PRSS23;LTBP1;THBS1;MMP11;RCAN1;KRT17;COL5A3;CDK1;SPARCL1;TSPO;COL21A1;GYG1;MATN3;VCL;CTSB;FBN1"
"32","Nucleus (GO:0005634)","87/4487",0.0201176323788106,0.117562414213674,0,0,1.313854743083,5.13212502445131,"CDKN1C;MCM8;PRDM6;HSPB8;CELF2;CELF3;FHL2;KIF11;NR3C1;PRSS23;CLU;SMC2;CHAF1A;SALL1;CSRP1;ANKRD1;NEK2;SOX7;LMCD1;PITX1;DLGAP5;IER3;OSR2;FOXD1;DTX3L;DST;SP110;DUSP1;PAX6;KIF23;EMP2;VRK1;KNL1;CBFA2T2;DUSP26;IGFN1;MYT1;RHOB;DPPA4;FANCD2;G2E3;RBMS1;TNIK;OPTN;ATF3;SP100;CDCA2;PRKAA2;MVP;CXCR4;TTK;ASCL1;HDAC9;USP18;NUAK1;CDC45;S100A16;MARVELD3;HOXC5;S100A13;PMAIP1;TNNI2;NLRP1;PLTP;TFAP2B;IRX2;CAVIN1;AHNAK2;SORBS2;CDC6;HSPA2;ZFHX4;FAM111B;NFKBIA;RCAN1;FABP3;KLF6;CDK6;RGCC;ID2;UBE2T;LHX1;NFE2L3;CDK1;CALM2;NEUROG2;PHF19"
"33","Spindle Microtubule (GO:0005876)","4/68",0.0228208057819867,0.119206455199734,0,0,3.91753194888179,14.8085944521859,"CDK1;KIF11;SKA3;CALM2"
"34","Melanosome Membrane (GO:0033162)","2/15",0.0229488362951359,0.119206455199734,0,0,9.60683760683761,36.2608937439107,"BACE2;RAB38"
"35","Pigment Granule Membrane (GO:0090741)","2/15",0.0229488362951359,0.119206455199734,0,0,9.60683760683761,36.2608937439107,"BACE2;RAB38"
"36","Chitosome (GO:0045009)","2/15",0.0229488362951359,0.119206455199734,0,0,9.60683760683761,36.2608937439107,"BACE2;RAB38"
"37","Intracellular Non-Membrane-Bounded Organelle (GO:0043232)","28/1195",0.0252257718667953,0.12749241457002,0,0,1.53722169345585,5.65680537544876,"CDCA2;MVP;HJURP;TTK;KIF11;CLU;SMC2;CDC20;RNF213;SALL1;S100A16;SNTG1;S100A13;NLRP1;KIF23;VRK1;CDC6;KLF6;RGCC;SAPCD2;FANCD2;SCD;UBE2T;FGF18;TNIK;VIM;ATF3;VCL"
"38","Polymeric Cytoskeletal Fiber (GO:0099513)","9/265",0.0259692256194039,0.127795926074435,0,0,2.21746905438312,8.0956315346285,"SYNM;TUBA1B;GAS2L3;DST;NEFL;NEFM;KIF23;KIF11;VIM"
"39","Apical Junction Complex (GO:0043296)","5/106",0.026852504916652,0.128754318446511,0,0,3.10707032241686,11.2395042823473,"CLDN5;SAPCD2;MARVELD3;ANK3;AMOTL1"
"40","Secretory Granule Lumen (GO:0034774)","10/316",0.0298544666044154,0.139569631375642,0,0,2.06265568116497,7.24285209374043,"ISLR;TGFB2;MVP;VEGFD;CXCL1;A2M;CLU;GYG1;THBS1;VCL"
"41","Intracellular Membrane-Bounded Organelle (GO:0043231)","97/5175",0.0322499242261189,0.144329430572924,0,0,1.26811289340829,4.35500349719846,"PRDM6;NR3C1;CLU;SMC2;SALL1;AP1S2;NEK2;SOX7;PITX1;IER3;OSR2;SP110;DIO3;VRK1;KNL1;MYT1;FANCD2;TNIK;SQSTM1;OPTN;ATF3;CDCA2;NUAK1;S100A16;HOXC5;S100A13;PMAIP1;NLRP1;SLC15A3;PLTP;PRNP;TFAP2B;CDC6;HSPA2;ZFHX4;FAM111B;NFKBIA;RCAN1;DAB2;CDK6;RGCC;ID2;UBE2T;LHX1;NFE2L3;CDK1;CALM2;PHF19;CDKN1C;MCM8;HSPB8;CELF2;CELF3;FHL2;GRIK1;KIF11;PRSS23;CHAF1A;CSRP1;PEA15;ANKRD1;TSPO;PMEPA1;LMCD1;DLGAP5;FOXD1;DTX3L;DST;DUSP1;PAX6;KIF23;EMP2;CBFA2T2;DUSP26;IGFN1;RHOB;DPPA4;G2E3;RBMS1;SP100;PRKAA2;MVP;CXCR4;TTK;ASCL1;HDAC9;USP18;CDC45;MARVELD3;TNNI2;IRX2;CAVIN1;AHNAK2;SORBS2;FABP3;KLF6;NEUROG2"
"42","High-Density Lipoprotein Particle (GO:0034364)","2/18",0.0324162357436513,0.144329430572924,0,0,7.80436507936508,26.7619161279212,"CLU;PLTP"
"43","Bicellular Tight Junction (GO:0005923)","4/81",0.039825169203707,0.173193177699842,0,0,3.25397286419651,10.4883881262237,"CLDN5;MARVELD3;ANK3;AMOTL1"
"44","Endocytic Vesicle Membrane (GO:0030666)","6/159",0.0413689090660171,0.175817863530573,0,0,2.46264422167581,7.84407758856459,"SYT1;ANXA3;WNT5A;CD9;WLS;TAPBP"
"45","Microtubule Cytoskeleton (GO:0015630)","10/342",0.0468669367312516,0.194758159305423,0,0,1.89857148463561,5.81046947958867,"CDC20;NUAK1;TUBA1B;GAS2L3;DST;CKAP2L;CKAP2;KIF23;TTK;KIF11"
"46","Cation Channel Complex (GO:0034703)","3/53",0.0517002385484908,0.210172708881908,0,0,3.75152866242038,11.1131266585128,"UNC80;CASQ2;CALM2"
"47","Pigment Granule (GO:0048770)","2/24",0.0549725277009866,0.218720482554989,0,0,5.67417027417027,16.4603237622968,"MLANA;RAB38"
"48","Endosome Lumen (GO:0031904)","2/25",0.0591435146386146,0.230413275779603,0,0,5.4271911663216,15.3469478838569,"RAB38;CTSB"
"49","Lytic Vacuole (GO:0000323)","7/223",0.0653425547805449,0.249368525386977,0,0,2.03508064516129,5.55192746865533,"DTX3L;MYL1;CXCR4;RAB38;OCIAD2;CLU;CTSB"
"50","Sarcoplasmic Reticulum Membrane (GO:0033017)","2/27",0.0677969545483635,0.25356061001088,0,0,4.99250793650794,13.4360270900595,"CASQ2;TRDN"
"51","Condensed Chromosome (GO:0000793)","3/60",0.069762390909147,0.255795433333539,0,0,3.28964130070399,8.75919705121498,"FANCD2;SMC2;TTN"
"52","Condensed Nuclear Chromosome (GO:0000794)","2/28",0.072270796330502,0.25629425049642,0,0,4.8002442002442,12.6118503395153,"SMC2;TTN"
"53","Microtubule (GO:0005874)","6/185",0.0747265760363746,0.25629425049642,0,0,2.10213943128132,5.45278042022869,"TUBA1B;CDK1;KIF23;KIF11;SKA3;CALM2"
"54","Phagocytic Vesicle (GO:0045335)","4/100",0.0747325059828204,0.25629425049642,0,0,2.60742811501597,6.76325167502013,"RAB31;ANXA3;RAB38;TAPBP"
"55","Caveola (GO:0005901)","3/62",0.0753806619107118,0.25629425049642,0,0,3.17780416711648,8.21527366534877,"CAVIN1;MYL1;EMP2"
"56","Chromocenter (GO:0010369)","1/5",0.0767844317746312,0.256405156104572,0,0,15.568829113924,39.9613446051612,"SALL1"
"57","Vesicle (GO:0031982)","7/235",0.0811761364554008,0.264553726152042,0,0,1.92678268251273,4.83840942957199,"HAS2;ATP1A3;CD9;TAGLN2;CALM2;FBLN2;VCL"
"58","Intercalated Disc (GO:0014704)","2/31",0.0862314231891042,0.264553726152042,0,0,4.30301039956212,10.5454763555202,"ANK3;SLC8A1"
"59","trans-Golgi Network (GO:0005802)","7/241",0.0898562157989994,0.264553726152042,0,0,1.87679900744417,4.52223070424514,"BACE2;RAB31;MLANA;AP1S2;RAB38;OPTN;WLS"
"60","Membrane Attack Complex (GO:0005579)","1/6",0.0914210313838074,0.264553726152042,0,0,12.4544303797468,29.7944812754746,"C7"
"61","Neurotransmitter Receptor Complex (GO:0098878)","1/6",0.0914210313838074,0.264553726152042,0,0,12.4544303797468,29.7944812754746,"SHISA9"
"62","Dystroglycan Complex (GO:0016011)","1/6",0.0914210313838074,0.264553726152042,0,0,12.4544303797468,29.7944812754746,"SGCA"
"63","Hemidesmosome (GO:0030056)","1/6",0.0914210313838074,0.264553726152042,0,0,12.4544303797468,29.7944812754746,"DST"
"64","Endocytic Vesicle (GO:0030139)","6/196",0.0923983864256596,0.264553726152042,0,0,1.97931968184126,4.71403833469668,"RAB31;WNT5A;LPAR1;CD9;RAB38;WLS"
"65","Postsynaptic Density (GO:0014069)","5/151",0.0926642146842796,0.264553726152042,0,0,2.1444722514928,5.10121250785786,"PRNP;NTRK2;GRIK1;SHISA9;SLC8A1"
"66","Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)","3/68",0.0933719033477794,0.264553726152042,0,0,2.88358647721705,6.83745875164073,"SYT1;WNT5A;CD9"
